Restaurant_Name,Rating,Area,Dishes,Amount,Location,Restaurant_Discount,discount_value,final_bill
The Atmos 3,4.0,Sri Krishna Puri,Indian,1000,patna,30,550.00,450.00
Afraa,4.0,Lodipur,Multicuisine,1200,patna,25,600.00,600.00
Bayleaf,3.7,Kaliket Nagar,"North Indian, Chinese",800,patna,50,600.00,200.00
The Pacifique- Cafe & Lounge,2.5,Kankarbagh,Multicuisine,1200,patna,30,660.00,540.00
The Downtown Cafe,3.5,Kankarbagh,Multicuisine,600,patna,40,390.00,210.00
Tao Bao Indo-Korean Cafe,5.0,Bailey Road,Korean,1000,patna,10,350.00,650.00
The Royal Jail Restro,4.3,Kaliket Nagar,Multicuisine,500,patna,30,275.00,225.00
Proso Pyare,2.7,Danapur,Multicuisine,1000,patna,30,550.00,450.00
Cafe Zodiac,4.3,Kankarbagh,Multicuisine,1000,patna,40,650.00,350.00
Cafe Hideout,4.0,Bailey Road,Multicuisine,800,patna,20,360.00,440.00
Pind The Revolving,3.7,Gandhi Maidan Rd,"Chinese, North Indian",1000,patna,15,400.00,600.00
Persona,4.5,Patliputra Colony,Multicuisine,1200,patna,30,660.00,540.00
AASMAN,4.1,Fraser Road Area,Multicuisine,2000,patna,20,900.00,1100.00
Cafe the Cartel,4.0,Lodipur,Multicuisine,700,patna,30,385.00,315.00
Cafe Skylite (Rooftop Lounge),4.2,Silkhouse Premier Hotel,Multicuisine,1000,patna,15,400.00,600.00
LIGHTHOUSE CAFE,4.2,Lodipur,Multicuisine,1000,patna,15,400.00,600.00
Kapil Dev's Elevens,4.3,Fraser Road Area,Multicuisine,1450,patna,25,725.00,725.00
Harilal's,5.0,Sri Krishna Puri,Indian,400,patna,0,0.00,400.00
Infinity Cafe,1.0,Lodipur,Multicuisine,800,patna,10,280.00,520.00
Karim's Ashiana- Digha,4.2,Khajpura,Mughlai,400,patna,20,180.00,220.00
Bikaner Elite,4.0,Anisabad,Multicuisine,1000,patna,15,400.00,600.00
Café Amaayra- A Multi-Cuisine Kitchen,4.5,Khajpura,Multicuisine,1000,patna,10,350.00,650.00
Kake - Da - Hotel,4.3,Danapur,Multicuisine,700,patna,20,315.00,385.00
Dosa (by Dakshin) Chilli Cafe,4.0,Kankarbagh,"South Indian, Multicuisine",800,patna,40,520.00,280.00
Biryani by Kilo,4.5,Patna,Biryani,700,patna,40,455.00,245.00
Bihari Baithak,4.4,Kaliket Nagar,Multicuisine,800,patna,20,360.00,440.00
Austaara,4.1,Kidwaipuri,Multicuisine,1500,patna,25,750.00,750.00
La Casa Cafe,4.0,Patliputra Colony,Multicuisine,1000,patna,10,350.00,650.00
Highway Junction,4.0,Mustafapur,"Chinese, North Indian",1000,patna,15,400.00,600.00
Amrapali Cafe,4.0,Danapur,Indian,1000,patna,10,350.00,650.00
Golden Flavour,3.9,Orchid Mall,Multicuisine,1000,patna,50,750.00,250.00
Bikaner Elite,4.0,Danapur,Multicuisine,800,patna,15,320.00,480.00
Brewmn Coffee,5.0,Kankarbagh,"Bakery, Cafe",700,patna,25,350.00,350.00
Craft Coffee,4.8,Lodipur,"Cafe, Fast Food",700,patna,10,245.00,455.00
Barkaas,4.6,Fraser Road Area,Arabian,1000,patna,10,350.00,650.00
The Grind House,4.3,Kankarbagh,Multicuisine,1000,patna,25,500.00,500.00
Regalia,4.0,Sri Krishna Puri,Multicuisine,1200,patna,15,480.00,720.00
SSS Restaurant,4.0,Kankarbagh,Multicuisine,1000,patna,0,0.00,1000.00
Vasa Cafe & Lounge,2.0,Boring Road,Multicuisine,1000,patna,20,450.00,550.00
The Fifth Avenue,5.0,Lodipur,Italian,1000,patna,25,500.00,500.00
AB's - Absolute Barbecues,4.5,Patna,"Multicuisine, Barbeque",1800,patna,0,450.00,1350.00
Hotel President (Atithi Restaurant),4.0,Lodipur,Indian,1000,patna,25,500.00,500.00
Garage Kitchen,5.0,Chitragupta Nagar,Multicuisine,1000,patna,50,750.00,250.00
IFC (Indian Food Court),4.0,Ashok Rajpath Road,Indian,1000,patna,0,250.00,750.00
Bikaner Elite,4.0,Rukanpura,Multicuisine,1000,patna,15,400.00,600.00
Swaaddesh,4.1,Boring Road,Indian,750,patna,20,337.50,412.50
Brewbites Cafe & Restaurant,4.0,Kaliket Nagar,Multicuisine,1000,patna,20,450.00,550.00
Food Mohalla,4.0,Makhniya kuwa,Fast Food,300,patna,30,165.00,135.00
Samsara,4.0,Patliputra Colony,Multicuisine,1000,patna,40,650.00,350.00
Flavor Town,4.8,Gola Road,Multicuisine,700,patna,15,280.00,420.00
Royal Thali Restro,5.0,Danapur,Multicuisine,1500,patna,15,600.00,900.00
Imperial Biryani,5.0,Bailey Road,Multicuisine,600,patna,15,240.00,360.00
Madhuram Restaurant & Cafe,4.0,Kankarbagh,Multicuisine,700,patna,10,245.00,455.00
Amritsar Haveli,5.0,Kankarbagh,Indian,1500,patna,10,525.00,975.00
Lal Miri,4.0,Bailey Road,"Chinese, Indian",600,patna,15,240.00,360.00
Ten 11 Restaurant & Cafe,4.0,Danapur,Indian,1000,patna,15,400.00,600.00
Berco's,5.0,Dujra Diara,"Indian, Thai, Chinese",1250,patna,30,687.50,562.50
Quantum Quisiine Cafe and Restaurant,4.0,Danapur,Multicuisine,800,patna,10,280.00,520.00
Biryani Blues,4.0,Sri Krishna Puri,Biryani,700,patna,25,350.00,350.00
The Royal Haveli Cafe And Restaurant,4.0,Anisabad,Multicuisine,500,patna,30,275.00,225.00
Mishri,5.0,Lodipur,Indian,1000,patna,25,500.00,500.00
The Urban Backyard,5.0,Kankarbagh,Indian,1200,patna,25,600.00,600.00
Afra Tafri Cafe & Restaurant,4.0,Raja Bazarr,Indian,800,patna,20,360.00,440.00
Swaadh Restaurant & Cafe,4.0,Patliputra Colony,Indian,800,patna,15,320.00,480.00
Flamingo Restaurant & Cafe,4.0,Kankarbagh,Indian,600,patna,25,300.00,300.00
Wow! Momo,2.7,Bikhna Pahari,Momos,400,patna,30,220.00,180.00
Eat Plan8,5.0,Patel Nagar,Multicuisine,600,patna,10,210.00,390.00
Wow! China,2.5,City Centre Mall,Chinese,400,patna,30,220.00,180.00
Biryani By Kilo,1.0,Anisabad,Biryani,1000,patna,40,650.00,350.00
Calm Street Cafe,4.0,S. K. Puram,"Pizza, Burgers, Coffee",400,patna,15,160.00,240.00
Royal Spice Restaurant,4.0,Khajpura,Indian,1200,patna,10,420.00,780.00
Mast Magan,4.0,Danapur,Multicuisine,1000,patna,10,350.00,650.00
Cookbook Cafe,4.4,Patliputra Colony,Multicuisine,1000,patna,25,500.00,500.00
Kiara Restaurant And Cafe,5.0,Kankarbagh,Multicuisine,600,patna,10,210.00,390.00
Ace Of Spades,4.0,Kankarbagh,Multicuisine,600,patna,15,240.00,360.00
Kitchen & Co Restro & Cafe,5.0,Chitragupta Nagar,Indian,1000,patna,10,350.00,650.00
La Fume Cafe And Restro,4.0,Boring Road,"Biryani, Mughlai, North Indian",800,patna,15,320.00,480.00
Hotel Golden Crystal,4.0,Kankarbagh,Multicuisine,1000,patna,15,400.00,600.00
City Lights Cafe,4.0,Sri Krishna Puri,Multicuisine,800,patna,20,360.00,440.00
MW Bistro,4.0,Kurji,Multicuisine,750,patna,20,337.50,412.50
2 Brother's Inn Restaurant,4.0,Kumhrar,"Chinese, Indian",700,patna,20,315.00,385.00
Spice Grill,4.0,Sri Krishna Puri,Chinese,600,patna,15,240.00,360.00
Tangerine,5.0,Hotel Ramta Continental,Multicuisine,800,patna,30,440.00,360.00
Buddha Restaurant & Cafe,4.0,Buddha Resort,Multicuisine,1000,patna,20,450.00,550.00
The Red Velvet,3.9,The Red Velvet Hotel Samarpan,Multicuisine,1500,patna,35,900.00,600.00
Celienna- Tasty Dine,4.0,New Azimabad Colony,Multicuisine,600,patna,10,210.00,390.00
Dishyum,5.0,Rukanpura,"Chinese, Indian",350,patna,10,122.50,227.50
Crown Cafe  And Restaurant,4.0,Shivpuri,Indian,1000,patna,10,350.00,650.00
Cafe Meet-Up,4.0,Mithapur,"Chinese, Indian",400,patna,10,140.00,260.00
You Found Me,5.0,Boring Road,Multicuisine,1000,patna,0,250.00,750.00
Ambrosia,4.3,The Red Velvet Hotel,Multicuisine,1500,patna,30,825.00,675.00
Kalpana Sweets House,4.0,Mustafapur,Desserts,800,patna,10,280.00,520.00
The Cloud Chef,4.0,Kautilya Nagar,"Indian, Chinese",300,patna,15,120.00,180.00
The Napples,4.0,Hotel Amalfi Grand,Multicuisine,700,patna,10,245.00,455.00
Chauka,4.3,Boring Road,Multicuisine,500,patna,10,175.00,325.00
The Old Monk Cafe,5.0,Rukanpura,"Chinese, North Indian",600,patna,40,390.00,210.00
Satvik (The Inside Kitchen),4.0,Maharana Pratap Bhawan,Multicuisine,600,patna,10,210.00,390.00
Chicago Pizza,4.3,Patna,Pizza,500,patna,15,200.00,300.00
MamaSexy - The Aer Bar,4.0,Raja Bazarr,Multicuisine,900,patna,10,315.00,585.00
Sit n Dine,4.0,Khagaul,Multicuisine,700,patna,25,350.00,350.00
POLIKA - Pure Veg Restaurant,4.0,Khajpura,"Chinese, Indian",1000,patna,15,400.00,600.00
Shree Devanshilal,4.0,Chitragupta Nagar,Multicuisine,800,patna,0,0.00,800.00
Kababs and Curries,5.0,Kankarbagh,Multicuisine,800,patna,10,280.00,520.00
Cafe 21,4.0,Kankarbagh,Indian,600,patna,15,240.00,360.00
Chilli Lime,5.0,Bankman Colony,Multicuisine,1000,patna,20,450.00,550.00
Heaven Spices,5.0,Bailey Road,Multicuisine,700,patna,15,280.00,420.00
Biryani Queen,4.0,Danapur,Biryani,1500,patna,20,675.00,825.00
Pind Balluchi,3.1,Kaliket Nagar,"Chinese, Indian",1000,patna,10,350.00,650.00
Lotus Restaurant,4.0,Danapur,Multicuisine,1000,patna,15,400.00,600.00
Luv to serve cafe & resturant,5.0,Danapur,Multicuisine,700,patna,10,245.00,455.00
Absolute Shawarma @ Patna,4.0,Ashiana,Shawarma,800,patna,10,280.00,520.00
The Magic pan,4.0,Gola Road,Multicuisine,800,patna,15,320.00,480.00
Yo! Pizza +,4.0,Bailey Road,Pizza,300,patna,10,105.00,195.00
Wat-A-Burger,4.0,Khajpura,Multicuisine,700,patna,10,245.00,455.00
Foodie Faves Cafe,4.0,Gokul path,Fast Food,500,patna,10,175.00,325.00
Cray Craft,4.4,Andheri East,"Chinese, Indian",2000,mumbai,0,0.00,2000.00
Mahesh Lunch Home,4.5,Juhu,Indian Coastal Cuisine,1200,mumbai,0,0.00,1200.00
Taftoon Bar & Kitchen,4.3,Powai,Indian,2500,mumbai,0,0.00,2500.00
Novaara,4.2,Malad West,Multicuisine,1800,mumbai,0,0.00,1800.00
La Panthera,4.6,Bandra Kurla Complex (BKC),European,4000,mumbai,0,0.00,4000.00
Si Nonna's - The Original Sourdough Pizza,4.7,Bandra Kurla Complex (BKC),Italian,1700,mumbai,0,0.00,1700.00
The Tanjore Tiffin Room,4.4,Pali Hill,Tamil Nadu,1500,mumbai,0,0.00,1500.00
Kitty Su,2.3,The Lalit,"Cocktail Menu, Drinks Only, Finger Food",2000,mumbai,0,0.00,2000.00
Eve,4.7,Worli,Multicuisine,2500,mumbai,0,0.00,2500.00
Baliboo,4.2,Goregaon East,Multicuisine,1800,mumbai,0,0.00,1800.00
Blabber All Day,4.7,Borivali East,"Continental, Asian",1500,mumbai,0,0.00,1500.00
The Caravan Menu,4.5,Panch Pakhadi,Multicuisine,2600,mumbai,0,0.00,2600.00
Butterfly High,4.4,Bandra Kurla Complex (BKC),Modern Indian,1500,mumbai,0,0.00,1500.00
Alfredo's,4.4,Hotel King's International,Continental,1500,mumbai,0,0.00,1500.00
Golden Delicacy Restaurant & Banquets,3.8,Malad West,Multicuisine,1000,mumbai,0,0.00,1000.00
Luuma House,4.6,Juhu,Multicuisine,2000,mumbai,0,0.00,2000.00
Gigi,4.1,Bandra West,"European, Japanese",3100,mumbai,0,0.00,3100.00
Taj Mahal Tea House,4.7,Bandra West,Multicuisine,1800,mumbai,0,0.00,1800.00
Los Cavos,4.5,Bandra West,Peruvian,2000,mumbai,0,0.00,2000.00
Papa Pancho da Dhaba,4.6,Bandra West,North Indian,800,mumbai,0,0.00,800.00
Khyber,4.4,Fort,"Mughlai, North Indian",2500,mumbai,0,0.00,2500.00
Earth Cafe @ BKC,4.7,Bandra Kurla Complex (BKC),European,1700,mumbai,0,0.00,1700.00
The Coconut Boy,3.4,Bandra West,Goan,1200,mumbai,0,0.00,1200.00
Ode,4.7,Worli,European,3000,mumbai,0,0.00,3000.00
Ekaa,4.5,Fort,Modern Indian,4000,mumbai,0,0.00,4000.00
Ditas,4.6,Lower Parel,European,2500,mumbai,0,0.00,2500.00
On Toes Restaurant,4.4,Juhu,Multicuisine,1200,mumbai,0,0.00,1200.00
La Loca Maria,4.6,Bandra West,Spanish,4000,mumbai,0,0.00,4000.00
The Nest,4.2,Bandra West,Multicuisine,1800,mumbai,0,0.00,1800.00
On Toes Pub,4.8,Juhu,Multicuisine,1200,mumbai,0,0.00,1200.00
Mirage,4.2,Krishna Curve,"Japanese, Asian",3500,mumbai,0,0.00,3500.00
The Fuchsia Loft,5.0,Hotel King's International,North Indian,1800,mumbai,0,0.00,1800.00
The Brasserie BY HILTON MUMBAI,4.2,Hilton Mumbai,Multicuisine,2200,mumbai,50,1650.00,550.00
Cacao- A Restrobar,4.0,Aralia International Airport,"Mexican, Indian, Italian",1200,mumbai,30,660.00,540.00
Fusion Ville,4.2,Marol,Multicuisine,1200,mumbai,25,600.00,600.00
Barista Coffee,4.0,Andheri East,"Cafe, Coffee",500,mumbai,40,325.00,175.00
Zytun- The Restaurant,4.3,Hotel Metropolis,Multicuisine,1200,mumbai,25,600.00,600.00
24/7 Restaurant,4.4,The Lalit,"Multicuisine, Bengali",3500,mumbai,25,1750.00,1750.00
Banjara,4.1,Goldfinch Hotel,Multicuisine,2500,mumbai,55,2000.00,500.00
Fiona,4.2,Radisson Blu Mumbai International Airport,"Cocktail Menu, Multicuisine",3000,mumbai,50,2250.00,750.00
British Brewing Company,4.1,Marol,"Cocktail Menu, Multicuisine",1500,mumbai,10,525.00,975.00
Kohana,4.5,Powai,Multicuisine,3500,mumbai,15,1400.00,2100.00
Global Coffee House & Eatery,4.0,Bloom Hotel - Saki Vihar,Multicuisine,2500,mumbai,50,1875.00,625.00
Food Exchange By Novotel,4.3,Novotel Mumbai International Airport,Multicuisine,2000,mumbai,30,1100.00,900.00
Something's Fishy,4.6,Tunga International,Seafood,1700,mumbai,10,595.00,1105.00
Uttam Da Dhaba,4.3,Marol,South Indian,1200,mumbai,10,420.00,780.00
Lake View Cafe,4.4,The Westin Mumbai Powai Lake,Multicuisine,3000,mumbai,25,1500.00,1500.00
"Castor Bistro Café By Aralia – A Business Hotel, Midc",4.6,Andheri East,Multicuisine,1200,mumbai,0,0.00,1200.00
Heritage Kitchen & Bar,3.6,Andheri East,Multicuisine,1000,mumbai,20,450.00,550.00
Navya,4.5,The Regale by Tunga,Multicuisine,850,mumbai,25,425.00,425.00
Bayroute,4.6,Powai,"Mediterranean, Cocktail Menu",3000,mumbai,15,1200.00,1800.00
Saptami,4.4,Holiday Inn Mumbai International Airport,Multicuisine,2000,mumbai,50,1500.00,500.00
Gourmet Bar By Novotel,4.8,Novotel Mumbai International Airport,Modern Indian,2500,mumbai,35,1500.00,1000.00
Fly Kitchen and Bar,1.0,Andheri East,Multicuisine,1700,mumbai,20,765.00,935.00
Mado Mado,4.3,Fairfield by Marriott Mumbai International Airport,Multicuisine,3000,mumbai,50,2250.00,750.00
ARC Powai- Lounge & Rooftop,4.6,Powai,Multicuisine,1500,mumbai,25,750.00,750.00
Shetty Lounge,4.0,Marol,"Chinese, Indian",1600,mumbai,10,560.00,1040.00
Madeleine De Proust,5.0,Fairmont,Multicuisine,2000,mumbai,25,1000.00,1000.00
JW Cafe,4.5,JW Marriott Mumbai Sahar,Multicuisine,4000,mumbai,25,2000.00,2000.00
Gallery Cafe,4.3,Radisson Mumbai Andheri MIDC,Multicuisine,2500,mumbai,55,2000.00,500.00
MoMo Cafe,4.3,Courtyard Mumbai International Airport,Multicuisine,3000,mumbai,30,1650.00,1350.00
Lounge Bar BY HILTON MUMBAI,4.1,Hilton Mumbai,"Cocktail Menu, Finger Food",2000,mumbai,30,1100.00,900.00
Berlin Brew,4.9,Marol,Multicuisine,1000,mumbai,15,400.00,600.00
Gola Sizzlers,3.8,Andheri East,Multicuisine,1500,mumbai,15,600.00,900.00
The Finch,4.3,Andheri East,Multicuisine,1600,mumbai,25,800.00,800.00
72 Bar,4.3,Holiday Inn Mumbai International Airport,"Cocktail Menu, Finger Food",2000,mumbai,50,1500.00,500.00
Nosh & Beyond,4.3,Andheri East,"Italian, Multicuisine, Continental",1200,mumbai,10,420.00,780.00
Dhaba,5.0,Marol,Multicuisine,800,mumbai,10,280.00,520.00
190 AMSL By Novotel,4.8,Novotel Mumbai International Airport,"Asian, Continental",995,mumbai,30,547.25,447.75
Mayouchi,4.5,The Westin Mumbai Powai Lake,"Japanese, oriental",2000,mumbai,25,1000.00,1000.00
Ark 2.0,4.8,Courtyard Mumbai International Airport,"Finger Food, Cocktail Menu",3500,mumbai,40,2275.00,1225.00
Opa! Bar & Café,4.1,The Peninsula Grand Hotel,"Cocktail Menu, Multicuisine",1500,mumbai,20,675.00,825.00
Ummrao,4.4,Courtyard Mumbai International Airport,Indian,1500,mumbai,30,825.00,675.00
Citrus,4.4,The Leela,European,3000,mumbai,25,1500.00,1500.00
The Bigg Small Cafe + Bar,4.2,Sakinaka,"Cocktail Menu, Multicuisine",1400,mumbai,15,560.00,840.00
Pickle & Pint,4.5,The Paradise By Tunga,"Cocktail Menu, Multicuisine",1400,mumbai,15,560.00,840.00
The Sassy Spoon,4.5,Powai,"American, Beverages, European, Healthy Food, Italian, Mediterranean, Modern Indian, Asian, Desserts, Continental",1800,mumbai,20,810.00,990.00
Brew Code- Holiday Inn,5.0,Holiday Inn Mumbai International Airport,"Bakery, Cafe",800,mumbai,50,600.00,200.00
Deli Shop BY HILTON MUMBAI,5.0,Hilton Mumbai,Bakery,800,mumbai,50,600.00,200.00
Asia Kitchen By Mainland China,4.4,Sakinaka,Pan Asian,1200,mumbai,20,540.00,660.00
Indriya Mishran,5.0,Andheri East,Multicuisine,1600,mumbai,15,640.00,960.00
ChimiChurri,4.5,Marol,Cocktail Menu,1700,mumbai,0,0.00,1700.00
Foo Powai,4.5,Powai,"Chinese, Asian",2000,mumbai,0,500.00,1500.00
Toast - Bistro & Bar,4.4,Marol,"Finger Food, Cocktail Menu",2000,mumbai,15,800.00,1200.00
IC BY HILTON MUMBAI,4.5,Hilton Mumbai,Pan Asian,1800,mumbai,30,990.00,810.00
Jw Lounge,5.0,JW Marriott Mumbai Sahar,Cocktail Menu,3500,mumbai,25,1750.00,1750.00
Whats Your Plan ?,4.7,Sakinaka,"Multicuisine, Asian",1600,mumbai,25,800.00,800.00
OKO,4.0,The Lalit,Pan Asian,4000,mumbai,25,2000.00,2000.00
Malhar Tribes,4.5,Marol,Multicuisine,1600,mumbai,10,560.00,1040.00
LVEL Bar & Diner,4.0,Sakinaka,Finger Food,1800,mumbai,20,810.00,990.00
Naans & Noodles,4.5,Hotel Yogi Midtown,Chinese,1300,mumbai,35,780.00,520.00
Roots Of India,4.5,Marol,Multicuisine,1200,mumbai,15,480.00,720.00
Pop Tate's,4.5,Sakinaka,Multicuisine,1000,mumbai,0,0.00,1000.00
Ice Cream Works Gold,5.0,Powai,"Ice Cream, Desserts",400,mumbai,25,200.00,200.00
The Stables,4.2,Hotel Peninsula Redpine,"Cocktail Menu, Multicuisine",1500,mumbai,15,600.00,900.00
Tattva Bar & Cafe Mumbai,4.5,Hotel Peninsula Redpine,"Cocktail Menu, Multicuisine",1800,mumbai,15,720.00,1080.00
Coco Café by Cococart,4.8,Oberoi Mall,Cafe,800,mumbai,35,480.00,320.00
Episode One,4.3,Powai,Finger Food,1400,mumbai,25,700.00,700.00
Lotus Cafe,4.5,JW Marriott Mumbai Juhu,Multicuisine,2800,mumbai,20,1260.00,1540.00
Bisou,3.5,Fairfield by Marriott Mumbai International Airport,"Finger Food, Cocktail Menu",2000,mumbai,30,1100.00,900.00
SMOOR,4.6,Powai,European,600,mumbai,10,210.00,390.00
Baluchi,4.4,The Lalit,North Indian,3500,mumbai,25,1750.00,1750.00
Tiara Restaurant & Bar,4.4,Meluha The Fern,Multicuisine,2500,mumbai,30,1375.00,1125.00
Avartana,5.0,ITC Maratha,Indian,5000,mumbai,10,1750.00,3250.00
Apna Dhaba,3.4,Chakala,North Indian,800,mumbai,10,280.00,520.00
Corkage & Co,4.6,Andheri East,"Chinese, Italian, oriental",1600,mumbai,10,560.00,1040.00
The Game Ranch,4.3,Powai,Multicuisine,2400,mumbai,15,960.00,1440.00
Wow! Momo,5.0,Andheri East,Momos,400,mumbai,30,220.00,180.00
The Great Wall,4.8,The Leela,Chinese,3200,mumbai,25,1600.00,1600.00
Peshawri,4.4,ITC Maratha,"Indian, North West Frontier",4000,mumbai,10,1400.00,2600.00
iaa by Tunga,4.8,Tunga International,Indian,1200,mumbai,10,420.00,780.00
Punjab Grill,4.1,Phoenix Market City,North Indian,1600,mumbai,30,880.00,720.00
SPICE OASIS,4.1,IRA BY ORCHID HOTELS,Multicuisine,1200,mumbai,25,600.00,600.00
Citrus Cafe,3.3,Lemon Tree Premier,Multicuisine,1800,mumbai,50,1350.00,450.00
Gurukripa,4.5,Powai,Indian,1400,mumbai,10,490.00,910.00
The Earth Plate - Global Cuisine,4.3,Sahara Star,Multicuisine,4500,mumbai,30,2475.00,2025.00
Fisherman's Cove - Taste On Palate,4.3,Chandivali,"Seafood, Multicuisine",800,mumbai,15,320.00,480.00
Nawab Saheb,4.4,The Westin Mumbai Powai Lake,Awadhi,5000,mumbai,25,2500.00,2500.00
Malvan Tadka,5.0,Marol,Multicuisine,1200,mumbai,10,420.00,780.00
True Tramm Trunk BKC,4.1,Bandra Kurla Complex (BKC),"Finger Food, Cocktail Menu",2600,mumbai,15,1040.00,1560.00
The Barn Grill,5.0,Andheri East,American,1000,mumbai,10,350.00,650.00
Waikiki,4.0,The Peninsula Grand Hotel,"Peruvian, Japanese, Finger Food",1500,mumbai,20,675.00,825.00
Spotlight Skydeck,4.4,Wagle Estate,Multicuisine,1400,mumbai,30,770.00,630.00
Beluga,5.0,The Lalit,"Finger Food, Cocktail Menu",2500,mumbai,25,1250.00,1250.00
Spice It,3.3,Vikhroli,Multicuisine,1700,mumbai,50,1275.00,425.00
Bombay Adda,5.0,Andheri East,Multicuisine,1500,mumbai,20,675.00,825.00
Banana Leaf,4.5,Malad West,South Indian,500,mumbai,10,175.00,325.00
House Of Asia,3.7,Hotel Mirador,Pan Asian,2500,mumbai,25,1250.00,1250.00
Aromas Cafe & Bistro,4.4,Linking Road,"Cafe, Continental",1000,mumbai,25,500.00,500.00
Fame Garden Prive,4.4,Powai,European,2500,mumbai,20,1125.00,1375.00
Qebab Quisine,3.8,Radisson Mumbai Andheri MIDC,"Mughlai, North Indian",2400,mumbai,35,1440.00,960.00
Gopalas Veg Kitchen,3.5,Kanjurmarg West,"South Indian, North Indian",800,mumbai,25,400.00,400.00
House of Mandarin,4.4,Powai,Pan Asian,1800,mumbai,0,450.00,1350.00
Eat Around the Corner,4.8,Bandra West,Continental,2200,mumbai,15,880.00,1320.00
Thyme & Whisk,4.1,Mulund West,Multicuisine,1300,mumbai,10,455.00,845.00
Utse Kitchen,5.0,Shivajinagar,Asian,1500,bengaluru,0,0.00,1500.00
Nasi and Mee,4.7,Richmond Town,Asian,2000,bengaluru,0,0.00,2000.00
Chin Lung Resto Bar,4.5,Residency Road,Multicuisine,2000,bengaluru,0,0.00,2000.00
Öz By Kebapci,4.5,UB City,Turkish,2000,bengaluru,0,0.00,2000.00
The Reservoire Cocktail Bar & Kitchen,4.6,12th main,Multicuisine,2000,bengaluru,0,0.00,2000.00
KoMaama Korean Restaurant,4.0,Brigade Road,Korean,2000,bengaluru,0,0.00,2000.00
Jollygunj,4.2,JP Nagar,Indian,1800,bengaluru,0,0.00,1800.00
"Atlantis - Brewpub, Cocktails & Kitchen",4.2,HSR,Multicuisine,2000,bengaluru,0,0.00,2000.00
one8 Commune,3.8,MG Road,Multicuisine,2800,bengaluru,0,0.00,2800.00
Juliet,3.8,1MG Road Mall,"European, Asian",3000,bengaluru,0,0.00,3000.00
46 Ounces Brewgarden,4.7,Electronic City,"Multicuisine, Cocktail Menu",2000,bengaluru,30,1100.00,900.00
Brau Galie Microbrewery,4.6,Koramangala 5th Block,Multicuisine,2000,bengaluru,0,0.00,2000.00
Helen's Place,4.3,Marathahalli,Multicuisine,2500,bengaluru,0,0.00,2500.00
Maverick & Farmer Coffee,4.5,Ulsoor,Cafe,2000,bengaluru,0,0.00,2000.00
Chin Lung Brewery - Indiranagar,4.6,Indiranagar,Multicuisine,2000,bengaluru,0,0.00,2000.00
Daddy,4.1,12th main,"Cocktail Menu, Pan Asian",2000,bengaluru,0,0.00,2000.00
Yuki Cocktail Bar & Kitchen,4.7,100 Feet Road,"Cocktail Menu, Pan Asian, Asian",2000,bengaluru,0,0.00,2000.00
The Founders Brewery,4.7,New BEL Road,"North Indian, Chinese",2000,bengaluru,0,0.00,2000.00
BLR Brewing Co,4.4,Whitefield,Multicuisine,2000,bengaluru,0,500.00,1500.00
William John's Pizza,4.9,Horamavu,"American, Italian",2000,bengaluru,0,0.00,2000.00
Yuki - Brewhouse and Kitchen,4.6,Koramangala,"Cocktail Menu, Pan Asian",2000,bengaluru,0,0.00,2000.00
DISTRICT 6,4.4,Rajajinagar,"Cocktail Menu, Multicuisine",2000,bengaluru,0,0.00,2000.00
Maize & Malt,4.6,Krishnarajapuram Hobli,Multicuisine,2000,bengaluru,10,700.00,1300.00
Koreyaki,3.8,Indiranagar,Korean,2000,bengaluru,0,0.00,2000.00
1 BHK - Bar House Kitchen,4.4,Koramangala,Multicuisine,2000,bengaluru,0,0.00,2000.00
1522 - The Pub,4.4,Malleshwaram,"European, Finger Food, North Indian, Indian Coastal Cuisine, Chicken, Barbeque",2500,bengaluru,0,0.00,2500.00
The Scene - Craft Kitchen & Bar,4.0,JP Nagar,Multicuisine,2000,bengaluru,0,0.00,2000.00
The Fisherman's Wharf,4.5,Sarjapur Road,"Indian Coastal Cuisine, Multicuisine, Seafood",2000,bengaluru,0,0.00,2000.00
Nusa - Tropical Brewvilla,4.1,Gunjur Village,Multicuisine,2000,bengaluru,0,0.00,2000.00
Chairman's Restobar,4.5,Chikkabanavara,Multicuisine,2000,bengaluru,0,0.00,2000.00
Oia,4.2,Hennur,Multicuisine,2000,bengaluru,0,0.00,2000.00
Yuki - Pan Asian Kitchen and Bar,4.5,JP Nagar,Pan Asian,2000,bengaluru,0,0.00,2000.00
Garden by su,4.4,Jayanagar,Multicuisine,2000,bengaluru,0,0.00,2000.00
Byg Brewski - Sarjapur,4.5,Sarjapur Road,Multicuisine,2000,bengaluru,0,0.00,2000.00
MisoSexy,4.3,12th main,"Pan Asian, Asian",2000,bengaluru,0,0.00,2000.00
Toca,3.9,Koramangala,Multicuisine,2000,bengaluru,0,0.00,2000.00
Subz,4.4,Jayanagar,Multicuisine,2000,bengaluru,0,0.00,2000.00
Gaia - Global Vegetarian,4.7,JP Nagar,Multicuisine,2000,bengaluru,0,0.00,2000.00
Masala Mandi,4.2,Sarjapur Road,Barbeque,2000,bengaluru,0,0.00,2000.00
Savera Lassi Shop,4.7,Shivajinagar,"Ice Cream, Beverages",2000,bengaluru,10,700.00,1300.00
My Breakfast,4.0,Shivajinagar,Multicuisine,2000,bengaluru,10,700.00,1300.00
