Restaurant_Name,Rating,Area,Dishes,Amount,Discount
Tonic Bar,4.3,Hard Rock Hotel Goa,Multicuisine,₹ 2000 for two approx.,10% Off + 25% Off
Casita Multi-Cuisine Restaurant,4.0,"Bardez, North Goa",Multicuisine,₹ 1500 for two approx.,10% Off + 25% Off
Gypsea Beach Club,2.5,"Anjuna Beach, Anjuna",Multicuisine,₹ 1700 for two approx.,10% Off + 25% Off
Aangan,4.4,"Panaji, North Goa","Goan, Modern Indian",₹ 800 for two approx.,10% Off + 25% Off
Nomad Pizza,4.0,"Anjuna, North Goa","Beverages, Italian",₹ 1200 for two approx.,40% Off + 25% Off
Mehek - Tandoor Works,4.1,"Colva, South Goa",Multicuisine,₹ 700 for two approx.,25% Off + 25% Off
Bonita Goa,5.0,"Arossim Beach, Goa",European,₹ 2000 for two approx.,10% Off + 25% Off
Jamun,4.3,"Assagao, North Goa","North Indian, Seafood, South Indian, Beverages, Goan, Indian",₹ 1800 for two approx.,20% Off + 25% Off
Chapter Two,5.0,"Calangute, North Goa",North Indian,₹ 700 for two approx.,25% Off :Payeazy
The Ocean Grill,4.0,"Calangute, North Goa","Chinese, Indian",₹ 600 for two approx.,Free Beverages + 25% Off
Tipsy Pub,4.0,"Arpora, North Goa",Multicuisine,₹ 1400 for two approx.,Free Beverages + 25% Off
Jungle Cafe,4.3,"Sangolda, North Goa",Continental,₹ 700 for two approx.,15% Off + 25% Off
Ping's Bia Hoi,4.4,"Porvorim, North Goa","Beverages, Chinese, Finger Food, Thai, Pan Asian, Asian",₹ 1400 for two approx.,15% Off + 25% Off
AKRA By Saga Stays,5.0,"Baga, North Goa",Multicuisine,₹ 1000 for two approx.,25% Off :Payeazy
Mama Miso,4.7,"Arossim Beach, Goa",Pan Asian,₹ 2000 for two approx.,10% Off + 25% Off
Viva Lounge,5.0,Holiday Inn Candolim Goa,Multicuisine,₹ 1500 for two approx.,25% Off + 25% Off
Uma By The Sea,5.0,"Morjim, North Goa",Multicuisine,₹ 2000 for two approx.,15% Off + 25% Off
Rashmi Restro & Bar,4.0,"Calangute, North Goa",Multicuisine,₹ 1500 for two approx.,25% Off :Payeazy
Cafe Mochasa,4.0,"Candolim, North Goa",Cafe,₹ 450 for two approx.,25% Off :Payeazy
Bloom Cafe,4.0,"Bloom Boutique, Baga",Multicuisine,₹ 1200 for two approx.,25% Off :Payeazy
The Bridge,4.0,"DiVaN Clarks Inn, Goa",Multicuisine,₹ 1500 for two approx.,25% Off :Payeazy
Taste of Bharat,4.0,"Arpora, North Goa",North Indian,₹ 800 for two approx.,25% Off :Payeazy
Bloom Cafe,4.0,"Bloomrooms, Calangute",Multicuisine,₹ 1200 for two approx.,25% Off :Payeazy
A Reverie,3.8,"Calangute Baga Road, Goa",Fusion,₹ 2000 for two approx.,25% Off :Payeazy
Thalassa Beach Boutique Resort,4.0,"Ashwem Beach, North Goa",Multicuisine,₹ 4500 for two approx.,25% Off :Payeazy
Saltamontes,4.8,"Anjuna, North Goa",Multicuisine,₹ 800 for two approx.,20% Off + 25% Off
Peep Kitchen,3.8,"Panaji, North Goa",Multicuisine,₹ 1000 for two approx.,10% Off + 25% Off
Angry Sardar,4.2,"Panaji, North Goa",North Indian,₹ 1200 for two approx.,10% Off + 25% Off
Maverick and Farmer Coffee,5.0,"Anjuna, North Goa","Italian, Continental",₹ 1000 for two approx.,10% Off + 25% Off
Lazy Goose,4.6,"Nerul, North Goa","Seafood, European, Goan",₹ 1500 for two approx.,25% Off + 25% Off
Waterfront Terrace and Bar,4.6,Goa Marriott Resort & Spa,Multicuisine,₹ 1500 for two approx.,30% Off + 25% Off
Soi,4.5,"Candolim, North Goa  | View All(2) Outlets",Goan,₹ 1500 for two approx.,15% Off + 25% Off
The Sanctuary Bar & Kitchen,4.7,"Anjuna, North Goa",Multicuisine,₹ 1800 for two approx.,30% Off + 25% Off
Toula Bar & Kitchen,5.0,"Candolim, North Goa",Italian,₹ 1500 for two approx.,20% Off + 25% Off
Food Exchange,4.5,Novotel Goa Resorts & Spa  | View All(2) Outlets,Multicuisine,₹ 2000 for two approx.,25% Off + 25% Off
The Goan Room,4.5,"Dona Paula Panaji, Goa","Goan, Seafood, Cocktail Menu",₹ 1000 for two approx.,20% Off + 25% Off
Zodiac - All Day Dining Benaulim,4.0,"Fortune Resort Benaulim, Goa by ITC","Seafood, Multicuisine",₹ 1100 for two approx.,25% Off + 25% Off
Spice Goa,4.4,"Sangolda, North Goa  | View All(2) Outlets",Multicuisine,₹ 1500 for two approx.,25% Off :Payeazy
Thai N Wok,5.0,"Miramar, Panaji, North Goa",Thai,₹ 1100 for two approx.,10% Off + 25% Off
Raeeth,3.2,"Ozran Beach Road , Goa",Mediterranean,₹ 1500 for two approx.,10% Off + 25% Off
Saz on the Beach,2.5,"Morjim, North Goa",Multicuisine,₹ 1700 for two approx.,30% Off + 25% Off
Bbq Company,3.3,"Bailey Road, Patna",Multicuisine,₹ 1200 for two approx.,25% Off
Barbeque Company,4.1,"Boring Road, Patna","Multicuisine, Barbeque",₹ 1800 for two approx.,25% Off
Pirates Of Grill,4.2,"Lodipur, Patna",Multicuisine,₹ 1800 for two approx.,25% Off
Barbeque Nation,4.5,"Bailey Road, Patna  | View All(2) Outlets",Multicuisine,₹ 1900 for two approx.,25% Off
True Kababs Flavour of Hyderabad,4.9,"Sri Krishna Puri, Patna",Chinese,₹ 900 for two approx.,25% Off
Patna Rasoi,4.3,"Fraser Road Area, Patna",Multicuisine,₹ 600 for two approx.,25% Off
Fiesta By Barbeque Nation,4.8,"KP Mall, Patna",Multicuisine,₹ 1600 for two approx.,25% Off
The Spice Routes,4.0,"Danapur, Patna",Multicuisine,₹ 1000 for two approx.,25% Off
Aaharam,4.0,"Rukanpura, Patna",Indian,₹ 500 for two approx.,25% Off
Traffic Jamm,4.0,"Rukanpura, Patna",Multicuisine,₹ 500 for two approx.,25% Off
Bloom kitchen,4.1,"Kankarbagh, Patna",Multicuisine,₹ 700 for two approx.,25% Off
Cafe Coca Mocha,4.0,"Anisabad, Patna",Cafe,₹ 1000 for two approx.,25% Off
Prashant Pizza,4.0,"Rajeev Nagar, Patna",Pizza,₹ 600 for two approx.,25% Off
Dark Delight Restaurant & Cafe,4.3,"Anandpuri, Patna","Chinese, Indian",₹ 600 for two approx.,25% Off
Hotel Star GloryRise,4.0,"Kumhrar, Patna",Multicuisine,₹ 1000 for two approx.,25% Off
Batido The Shake Paradise,4.0,"Rajeev Nagar, Patna  | View All(12) Outlets","Bakery, Cafe",₹ 500 for two approx.,25% Off
Mahi Seven Star Restaurant,4.0,"Machhua Toli, Patna","Chinese, Indian",₹ 1000 for two approx.,25% Off
Foodiegram,2.0,"Lodipur, Patna",Multicuisine,₹ 800 for two approx.,25% Off
Heden Cafe,4.2,"Sri Krishna Puri, Patna",Multicuisine,₹ 700 for two approx.,40% Off + 25% Off
Cafe 13,4.0,"Boring Road, Patna","Chinese, Italian",₹ 800 for two approx.,30% Off + 25% Off
The Atmos 3,4.0,"Sri Krishna Puri, Patna",Indian,₹ 1000 for two approx.,30% Off + 25% Off
Afraa,4.0,"Lodipur, Patna",Multicuisine,₹ 1200 for two approx.,25% Off + 25% Off
Bayleaf,3.7,"Kaliket Nagar, Patna","North Indian, Chinese",₹ 800 for two approx.,50% Off + 25% Off
The Pacifique- Cafe & Lounge,2.5,"Kankarbagh, Patna",Multicuisine,₹ 1200 for two approx.,30% Off + 25% Off
The Downtown Cafe,3.5,"Kankarbagh, Patna",Multicuisine,₹ 600 for two approx.,40% Off + 25% Off
Tao Bao Indo-Korean Cafe,5.0,"Bailey Road, Patna",Korean,₹ 1000 for two approx.,10% Off + 25% Off
The Royal Jail Restro,4.3,"Kaliket Nagar, Patna",Multicuisine,₹ 500 for two approx.,30% Off + 25% Off
Proso Pyare,2.7,"Danapur, Patna",Multicuisine,₹ 1000 for two approx.,30% Off + 25% Off
Cafe Zodiac,4.3,"Kankarbagh, Patna",Multicuisine,₹ 1000 for two approx.,40% Off + 25% Off
Cafe Hideout,4.0,"Bailey Road, Patna  | View All(5) Outlets",Multicuisine,₹ 800 for two approx.,20% Off + 25% Off
Pind The Revolving,3.7,"Gandhi Maidan Rd, Patna","Chinese, North Indian",₹ 1000 for two approx.,15% Off + 25% Off
Persona,4.5,"Patliputra Colony, Patna",Multicuisine,₹ 1200 for two approx.,30% Off + 25% Off
AASMAN,4.1,"Fraser Road Area, Patna",Multicuisine,₹ 2000 for two approx.,20% Off + 25% Off
Cafe the Cartel,4.0,"Lodipur, Patna",Multicuisine,₹ 700 for two approx.,30% Off + 25% Off
Cafe Skylite (Rooftop Lounge),4.2,"Silkhouse Premier Hotel, Patna",Multicuisine,₹ 1000 for two approx.,15% Off + 25% Off
LIGHTHOUSE CAFE,4.2,"Lodipur, Patna",Multicuisine,₹ 1000 for two approx.,15% Off + 25% Off
Kapil Dev's Elevens,4.3,"Fraser Road Area, Patna",Multicuisine,₹ 1450 for two approx.,25% Off + 25% Off
Harilal's,5.0,"Sri Krishna Puri, Patna  | View All(8) Outlets",Indian,₹ 400 for two approx.,25% Off :Payeazy
Infinity Cafe,1.0,"Lodipur, Patna",Multicuisine,₹ 800 for two approx.,10% Off + 25% Off
Karim's Ashiana- Digha,4.2,"Khajpura, Patna  | View All(2) Outlets",Mughlai,₹ 400 for two approx.,20% Off + 25% Off
Bikaner Elite,4.0,"Anisabad, Patna",Multicuisine,₹ 1000 for two approx.,15% Off + 25% Off
Café Amaayra- A Multi-Cuisine Kitchen,4.5,"Khajpura, Patna",Multicuisine,₹ 1000 for two approx.,10% Off + 25% Off
Kake - Da - Hotel,4.3,"Danapur, Patna",Multicuisine,₹ 700 for two approx.,20% Off + 25% Off
Dosa (by Dakshin) Chilli Cafe,4.0,"Kankarbagh, Patna","South Indian, Multicuisine",₹ 800 for two approx.,40% Off + 25% Off
Biryani by Kilo,4.5,Patna,Biryani,₹ 700 for two approx.,40% Off + 25% Off
Bihari Baithak,4.4,"Kaliket Nagar, Patna",Multicuisine,₹ 800 for two approx.,20% Off + 25% Off
Austaara,4.1,"Kidwaipuri, Patna",Multicuisine,₹ 1500 for two approx.,25% Off + 25% Off
La Casa Cafe,4.0,"Patliputra Colony, Patna",Multicuisine,₹ 1000 for two approx.,10% Off + 25% Off
Highway Junction,4.0,"Mustafapur, Patna","Chinese, North Indian",₹ 1000 for two approx.,15% Off + 25% Off
Amrapali Cafe,4.0,"Danapur, Patna  | View All(2) Outlets",Indian,₹ 1000 for two approx.,10% Off + 25% Off
Golden Flavour,3.9,"Orchid Mall, Boring Rd",Multicuisine,₹ 1000 for two approx.,50% Off + 25% Off
Bikaner Elite,4.0,"Danapur, Patna",Multicuisine,₹ 800 for two approx.,15% Off + 25% Off
Brewmn Coffee,5.0,"Kankarbagh, Patna","Bakery, Cafe",₹ 700 for two approx.,25% Off + 25% Off
Craft Coffee,4.8,"Lodipur, Patna","Cafe, Fast Food",₹ 700 for two approx.,10% Off + 25% Off
Barkaas,4.6,"Fraser Road Area, Patna",Arabian,₹ 1000 for two approx.,10% Off + 25% Off
The Grind House,4.3,"Kankarbagh, Patna",Multicuisine,₹ 1000 for two approx.,25% Off + 25% Off
Regalia,4.0,"Sri Krishna Puri, Patna",Multicuisine,₹ 1200 for two approx.,15% Off + 25% Off
SSS Restaurant,4.0,"Kankarbagh, Patna",Multicuisine,₹ 1000 for two approx.,25% Off :Payeazy
Vasa Cafe & Lounge,2.0,"Boring Road, Patna",Multicuisine,₹ 1000 for two approx.,20% Off + 25% Off
The Fifth Avenue,5.0,"Lodipur, Patna",Italian,₹ 1000 for two approx.,25% Off + 25% Off
AB's - Absolute Barbecues,4.5,Patna,"Multicuisine, Barbeque",₹ 1800 for two approx.,Free Cocktail or Mocktail + 25% Off
Hotel President (Atithi Restaurant),4.0,"Lodipur, Patna",Indian,₹ 1000 for two approx.,25% Off + 25% Off
Garage Kitchen,5.0,"Chitragupta Nagar, Patna",Multicuisine,₹ 1000 for two approx.,50% Off + 25% Off
IFC (Indian Food Court),4.0,"Ashok Rajpath Road, Patna",Indian,₹ 1000 for two approx.,Free Cocktail or Mocktail + 25% Off
Bikaner Elite,4.0,"Rukanpura, Patna",Multicuisine,₹ 1000 for two approx.,15% Off + 25% Off
Swaaddesh,4.1,"Boring Road, Patna",Indian,₹ 750 for two approx.,20% Off + 25% Off
Brewbites Cafe & Restaurant,4.0,"Kaliket Nagar, Patna",Multicuisine,₹ 1000 for two approx.,20% Off + 25% Off
Food Mohalla,4.0,"Makhniya kuwa, Patna",Fast Food,₹ 300 for two approx.,30% Off + 25% Off
Samsara,4.0,"Patliputra Colony, Patna",Multicuisine,₹ 1000 for two approx.,40% Off + 25% Off
Flavor Town,4.8,"Gola Road, Patna",Multicuisine,₹ 700 for two approx.,15% Off + 25% Off
Royal Thali Restro,5.0,"Danapur, Patna",Multicuisine,₹ 1500 for two approx.,15% Off + 25% Off
Imperial Biryani,5.0,"Bailey Road, Patna",Multicuisine,₹ 600 for two approx.,15% Off + 25% Off
Madhuram Restaurant & Cafe,4.0,"Kankarbagh, Patna",Multicuisine,₹ 700 for two approx.,10% Off + 25% Off
Amritsar Haveli,5.0,"Kankarbagh, Patna",Indian,₹ 1500 for two approx.,10% Off + 25% Off
Lal Miri,4.0,"Bailey Road, Patna","Chinese, Indian",₹ 600 for two approx.,15% Off + 25% Off
Ten 11 Restaurant & Cafe,4.0,"Danapur, Patna",Indian,₹ 1000 for two approx.,15% Off + 25% Off
Berco's,5.0,"Dujra Diara, Patna","Indian, Thai, Chinese",₹ 1250 for two approx.,30% Off + 25% Off
Quantum Quisiine Cafe and Restaurant,4.0,"Danapur, Patna",Multicuisine,₹ 800 for two approx.,10% Off + 25% Off
Biryani Blues,4.0,"Sri Krishna Puri, Patna",Biryani,₹ 700 for two approx.,25% Off + 25% Off
The Royal Haveli Cafe And Restaurant,4.0,"Anisabad, Patna",Multicuisine,₹ 500 for two approx.,30% Off + 25% Off
Mishri,5.0,"Lodipur, Patna",Indian,₹ 1000 for two approx.,25% Off + 25% Off
The Urban Backyard,5.0,"Kankarbagh, Patna",Indian,₹ 1200 for two approx.,25% Off + 25% Off
Afra Tafri Cafe & Restaurant,4.0,"Raja Bazarr, Patna",Indian,₹ 800 for two approx.,20% Off + 25% Off
Swaadh Restaurant & Cafe,4.0,"Patliputra Colony, Patna",Indian,₹ 800 for two approx.,15% Off + 25% Off
Flamingo Restaurant & Cafe,4.0,"Kankarbagh, Patna",Indian,₹ 600 for two approx.,25% Off + 25% Off
Wow! Momo,2.7,"Bikhna Pahari, Patna  | View All(2) Outlets",Momos,₹ 400 for two approx.,30% Off + 25% Off
Eat Plan8,5.0,"Patel Nagar, Patna",Multicuisine,₹ 600 for two approx.,10% Off + 25% Off
Wow! China,2.5,"City Centre Mall, Patna  | View All(2) Outlets",Chinese,₹ 400 for two approx.,30% Off + 25% Off
Biryani By Kilo,1.0,"Anisabad, Patna",Biryani,₹ 1000 for two approx.,40% Off + 25% Off
Calm Street Cafe,4.0,"S. K. Puram, Patna","Pizza, Burgers, Coffee",₹ 400 for two approx.,15% Off + 25% Off
Royal Spice Restaurant,4.0,"Khajpura, Patna",Indian,₹ 1200 for two approx.,10% Off + 25% Off
Mast Magan,4.0,"Danapur, Patna",Multicuisine,₹ 1000 for two approx.,10% Off + 25% Off
Cookbook Cafe,4.4,"Patliputra Colony, Patna",Multicuisine,₹ 1000 for two approx.,25% Off + 25% Off
Kiara Restaurant And Cafe,5.0,"Kankarbagh, Patna",Multicuisine,₹ 600 for two approx.,10% Off + 25% Off
Ace Of Spades,4.0,"Kankarbagh, Patna",Multicuisine,₹ 600 for two approx.,15% Off + 25% Off
Kitchen & Co Restro & Cafe,5.0,"Chitragupta Nagar, Patna",Indian,₹ 1000 for two approx.,10% Off + 25% Off
La Fume Cafe And Restro,4.0,"Boring Road, Patna","Biryani, Mughlai, North Indian",₹ 800 for two approx.,15% Off + 25% Off
Hotel Golden Crystal,4.0,"Kankarbagh, Patna",Multicuisine,₹ 1000 for two approx.,15% Off + 25% Off
City Lights Cafe,4.0,"Sri Krishna Puri, Patna",Multicuisine,₹ 800 for two approx.,20% Off + 25% Off
MW Bistro,4.0,"Kurji, Patna",Multicuisine,₹ 750 for two approx.,20% Off + 25% Off
2 Brother's Inn Restaurant,4.0,"Kumhrar, Patna","Chinese, Indian",₹ 700 for two approx.,20% Off + 25% Off
Spice Grill,4.0,"Sri Krishna Puri, Patna",Chinese,₹ 600 for two approx.,15% Off + 25% Off
Tangerine,5.0,"Hotel Ramta Continental, Patna",Multicuisine,₹ 800 for two approx.,30% Off + 25% Off
Buddha Restaurant & Cafe,4.0,"Buddha Resort, Patna",Multicuisine,₹ 1000 for two approx.,20% Off + 25% Off
The Red Velvet,3.9,"The Red Velvet Hotel Samarpan, Patna",Multicuisine,₹ 1500 for two approx.,35% Off + 25% Off
Celienna- Tasty Dine,4.0,"New Azimabad Colony, Patna",Multicuisine,₹ 600 for two approx.,10% Off + 25% Off
Dishyum,5.0,"Rukanpura, Patna","Chinese, Indian",₹ 350 for two approx.,10% Off + 25% Off
Crown Cafe  And Restaurant,4.0,"Shivpuri, Patna",Indian,₹ 1000 for two approx.,10% Off + 25% Off
Cafe Meet-Up,4.0,"Mithapur, Patna","Chinese, Indian",₹ 400 for two approx.,10% Off + 25% Off
You Found Me,5.0,"Boring Road, Patna",Multicuisine,₹ 1000 for two approx.,Free Cocktail or Mocktail + 25% Off
Ambrosia,4.3,"The Red Velvet Hotel, Patna",Multicuisine,₹ 1500 for two approx.,30% Off + 25% Off
Kalpana Sweets House,4.0,"Mustafapur, Patna",Desserts,₹ 800 for two approx.,10% Off + 25% Off
The Cloud Chef,4.0,"Kautilya Nagar, Patna","Indian, Chinese",₹ 300 for two approx.,15% Off + 25% Off
The Napples,4.0,Hotel Amalfi Grand,Multicuisine,₹ 700 for two approx.,10% Off + 25% Off
Chauka,4.3,"Boring Road, Patna",Multicuisine,₹ 500 for two approx.,10% Off + 25% Off
The Old Monk Cafe,5.0,"Rukanpura, Patna","Chinese, North Indian",₹ 600 for two approx.,40% Off + 25% Off
Satvik (The Inside Kitchen),4.0,"Maharana Pratap Bhawan, Patna",Multicuisine,₹ 600 for two approx.,10% Off + 25% Off
Chicago Pizza,4.3,Patna  | View All(4) Outlets,Pizza,₹ 500 for two approx.,15% Off + 25% Off
MamaSexy - The Aer Bar,4.0,"Raja Bazarr, Patna",Multicuisine,₹ 900 for two approx.,10% Off + 25% Off
Sit n Dine,4.0,"Khagaul, Patna",Multicuisine,₹ 700 for two approx.,25% Off + 25% Off
POLIKA - Pure Veg Restaurant,4.0,"Khajpura, Patna","Chinese, Indian",₹ 1000 for two approx.,15% Off + 25% Off
Shree Devanshilal,4.0,"Chitragupta Nagar, Patna",Multicuisine,₹ 800 for two approx.,25% Off :Payeazy
Kababs and Curries,5.0,"Kankarbagh, Patna",Multicuisine,₹ 800 for two approx.,10% Off + 25% Off
Cafe 21,4.0,"Kankarbagh, Patna",Indian,₹ 600 for two approx.,15% Off + 25% Off
Chilli Lime,5.0,"Bankman Colony, Patna",Multicuisine,₹ 1000 for two approx.,20% Off + 25% Off
Heaven Spices,5.0,"Bailey Road, Patna",Multicuisine,₹ 700 for two approx.,15% Off + 25% Off
Biryani Queen,4.0,"Danapur, Patna",Biryani,₹ 1500 for two approx.,20% Off + 25% Off
Pind Balluchi,3.1,"Kaliket Nagar, Patna","Chinese, Indian",₹ 1000 for two approx.,10% Off + 25% Off
Lotus Restaurant,4.0,"Danapur, Patna",Multicuisine,₹ 1000 for two approx.,15% Off + 25% Off
Luv to serve cafe & resturant,5.0,"Danapur, Patna",Multicuisine,₹ 700 for two approx.,10% Off + 25% Off
Absolute Shawarma @ Patna,4.0,"Ashiana, Patna",Shawarma,₹ 800 for two approx.,10% Off + 25% Off
The Magic pan,4.0,"Gola Road, Patna",Multicuisine,₹ 800 for two approx.,15% Off + 25% Off
Yo! Pizza +,4.0,"Bailey Road, Patna",Pizza,₹ 300 for two approx.,10% Off + 25% Off
Wat-A-Burger,4.0,"Khajpura, Patna",Multicuisine,₹ 700 for two approx.,10% Off + 25% Off
Foodie Faves Cafe,4.0,"Gokul path, Patna",Fast Food,₹ 500 for two approx.,10% Off + 25% Off
Cray Craft,4.4,"Andheri East, Western Suburbs","Chinese, Indian",₹ 2000 for two approx.,25% Off
Mahesh Lunch Home,4.5,"Juhu, Western Suburbs  | View All(5) Outlets",Indian Coastal Cuisine,₹ 1200 for two approx.,25% Off
Taftoon Bar & Kitchen,4.3,"Powai, Central Mumbai  | View All(2) Outlets",Indian,₹ 2500 for two approx.,25% Off
Novaara,4.2,"Malad West, Western Suburbs",Multicuisine,₹ 1800 for two approx.,25% Off
La Panthera,4.6,"Bandra Kurla Complex (BKC), Western Suburbs",European,₹ 4000 for two approx.,25% Off
Si Nonna's - The Original Sourdough Pizza,4.7,"Bandra Kurla Complex (BKC), Western Suburbs  | View All(3) Outlets",Italian,₹ 1700 for two approx.,25% Off
The Tanjore Tiffin Room,4.4,"Pali Hill, Bandra West, Western Suburbs  | View All(3) Outlets",Tamil Nadu,₹ 1500 for two approx.,25% Off
Kitty Su,2.3,"The Lalit, Mumbai","Cocktail Menu, Drinks Only, Finger Food",₹ 2000 for two approx.,25% Off
Eve,4.7,"Worli, South Mumbai  | View All(3) Outlets",Multicuisine,₹ 2500 for two approx.,25% Off
Baliboo,4.2,"Goregaon East, Western Suburbs",Multicuisine,₹ 1800 for two approx.,25% Off
Blabber All Day,4.7,"Borivali East, Western Suburbs","Continental, Asian",₹ 1500 for two approx.,25% Off
The Caravan Menu,4.5,"Panch Pakhadi, Thane West",Multicuisine,₹ 2600 for two approx.,25% Off
Butterfly High,4.4,"Bandra Kurla Complex (BKC), Western Suburbs  | View All(6) Outlets",Modern Indian,₹ 1500 for two approx.,25% Off
Alfredo's,4.4,"Hotel King's International, Mumbai  | View All(3) Outlets",Continental,₹ 1500 for two approx.,25% Off
Golden Delicacy Restaurant & Banquets,3.8,"Malad West, Western Suburbs",Multicuisine,₹ 1000 for two approx.,25% Off
Luuma House,4.6,"Juhu, Western Suburbs",Multicuisine,₹ 2000 for two approx.,25% Off
Gigi,4.1,"Bandra West, Western Suburbs","European, Japanese",₹ 3100 for two approx.,25% Off
Taj Mahal Tea House,4.7,"Bandra West, Western Suburbs",Multicuisine,₹ 1800 for two approx.,25% Off
Los Cavos,4.5,"Bandra West, Western Suburbs",Peruvian,₹ 2000 for two approx.,25% Off
Papa Pancho da Dhaba,4.6,"Bandra West, Western Suburbs",North Indian,₹ 800 for two approx.,25% Off
Khyber,4.4,"Fort, South Mumbai  | View All(1) Outlets","Mughlai, North Indian",₹ 2500 for two approx.,25% Off
Earth Cafe @ BKC,4.7,"Bandra Kurla Complex (BKC), Western Suburbs",European,₹ 1700 for two approx.,25% Off
The Coconut Boy,3.4,"Bandra West, Western Suburbs",Goan,₹ 1200 for two approx.,25% Off
Ode,4.7,"Worli, South Mumbai",European,₹ 3000 for two approx.,25% Off
Ekaa,4.5,"Fort, South Mumbai",Modern Indian,₹ 4000 for two approx.,25% Off
Ditas,4.6,"Lower Parel, South Mumbai",European,₹ 2500 for two approx.,25% Off
On Toes Restaurant,4.4,"Juhu, Western Suburbs  | View All(1) Outlets",Multicuisine,₹ 1200 for two approx.,25% Off
La Loca Maria,4.6,"Bandra West, Western Suburbs",Spanish,₹ 4000 for two approx.,25% Off
The Nest,4.2,"Bandra West, Western Suburbs",Multicuisine,₹ 1800 for two approx.,25% Off
On Toes Pub,4.8,"Juhu, Western Suburbs",Multicuisine,₹ 1200 for two approx.,25% Off
Mirage,4.2,"Krishna Curve, Juhu garden","Japanese, Asian",₹ 3500 for two approx.,25% Off
The Fuchsia Loft,5.0,"Hotel King's International, Mumbai",North Indian,₹ 1800 for two approx.,25% Off
The Brasserie BY HILTON MUMBAI,4.2,"Hilton Mumbai, Mumbai",Multicuisine,₹ 2200 for two approx.,50% Off + 25% Off
Cacao- A Restrobar,4.0,"Aralia International Airport, Mumbai","Mexican, Indian, Italian",₹ 1200 for two approx.,30% Off + 25% Off
Fusion Ville,4.2,"Marol, Central Mumbai",Multicuisine,₹ 1200 for two approx.,25% Off + 25% Off
Barista Coffee,4.0,"Andheri East, Western Suburbs  | View All(16) Outlets","Cafe, Coffee",₹ 500 for two approx.,40% Off + 25% Off
Zytun- The Restaurant,4.3,"Hotel Metropolis, Mumbai",Multicuisine,₹ 1200 for two approx.,25% Off + 25% Off
24/7 Restaurant,4.4,"The Lalit, Mumbai","Multicuisine, Bengali",₹ 3500 for two approx.,25% Off + 25% Off
Banjara,4.1,"Goldfinch Hotel, Mumbai  | View All(1) Outlets",Multicuisine,₹ 2500 for two approx.,55% Off + 25% Off
Fiona,4.2,Radisson Blu Mumbai International Airport,"Cocktail Menu, Multicuisine",₹ 3000 for two approx.,50% Off + 25% Off
British Brewing Company,4.1,"Marol, Central Mumbai  | View All(7) Outlets","Cocktail Menu, Multicuisine",₹ 1500 for two approx.,10% Off + 25% Off
Kohana,4.5,"Powai, Central Mumbai",Multicuisine,₹ 3500 for two approx.,15% Off + 25% Off
Global Coffee House & Eatery,4.0,"Bloom Hotel - Saki Vihar, Powai  | View All(2) Outlets",Multicuisine,₹ 2500 for two approx.,50% Off + 25% Off
Food Exchange By Novotel,4.3,Novotel Mumbai International Airport,Multicuisine,₹ 2000 for two approx.,30% Off + 25% Off
Something's Fishy,4.6,"Tunga International, Mumbai  | View All(2) Outlets",Seafood,₹ 1700 for two approx.,10% Off + 25% Off
Uttam Da Dhaba,4.3,"Marol, Central Mumbai",South Indian,₹ 1200 for two approx.,10% Off + 25% Off
Lake View Cafe,4.4,The Westin Mumbai Powai Lake,Multicuisine,₹ 3000 for two approx.,25% Off + 25% Off
"Castor Bistro Café By Aralia – A Business Hotel, Midc",4.6,"Andheri East, Western Suburbs",Multicuisine,₹ 1200 for two approx.,1+1 Buffet + 25% Off
Heritage Kitchen & Bar,3.6,"Andheri East, Western Suburbs",Multicuisine,₹ 1000 for two approx.,20% Off + 25% Off
Navya,4.5,"The Regale by Tunga, Mumbai",Multicuisine,₹ 850 for two approx.,25% Off + 25% Off
Bayroute,4.6,"Powai, Central Mumbai  | View All(6) Outlets","Mediterranean, Cocktail Menu",₹ 3000 for two approx.,15% Off + 25% Off
Saptami,4.4,"Holiday Inn Mumbai International Airport, Mumbai",Multicuisine,₹ 2000 for two approx.,50% Off + 25% Off
Gourmet Bar By Novotel,4.8,Novotel Mumbai International Airport,Modern Indian,₹ 2500 for two approx.,35% Off + 25% Off
Fly Kitchen and Bar,1.0,"Andheri East, Western Suburbs",Multicuisine,₹ 1700 for two approx.,20% Off + 25% Off
Mado Mado,4.3,Fairfield by Marriott Mumbai International Airport,Multicuisine,₹ 3000 for two approx.,50% Off + 25% Off
ARC Powai- Lounge & Rooftop,4.6,"Powai, Central Mumbai",Multicuisine,₹ 1500 for two approx.,25% Off + 25% Off
Shetty Lounge,4.0,"Marol, Central Mumbai","Chinese, Indian",₹ 1600 for two approx.,10% Off + 25% Off
Madeleine De Proust,5.0,"Fairmont, Vile Parle, Mumbai",Multicuisine,₹ 2000 for two approx.,25% Off + 25% Off
JW Cafe,4.5,"JW Marriott Mumbai Sahar, Mumbai",Multicuisine,₹ 4000 for two approx.,25% Off + 25% Off
Gallery Cafe,4.3,Radisson Mumbai Andheri MIDC,Multicuisine,₹ 2500 for two approx.,55% Off + 25% Off
MoMo Cafe,4.3,Courtyard Mumbai International Airport,Multicuisine,₹ 3000 for two approx.,30% Off + 25% Off
