Restaurant_Name,Rating,Area,Dishes,Amount,Discount
Sipsss,4.5,"Gopalbari, Jaipur",Multicuisine,₹ 1000 for two approx.,15% Off + 25% Off
The Night Jar,4.3,"MI Road, Jaipur",Multicuisine,₹ 800 for two approx.,15% Off + 25% Off
Brewlicious Rooftop Bar,4.5,"C Scheme, Jaipur","Cocktail Menu, Multicuisine",₹ 2000 for two approx.,30% Off + 25% Off
Kalyan Rooftop And Indoor Restaurant,4.2,"Gopalbari, Jaipur",Multicuisine,₹ 600 for two approx.,10% Off + 25% Off
Palila Cafe & Kitchen,4.0,"Gopalbari, Jaipur",Italian,₹ 900 for two approx.,15% Off + 25% Off
Jaipur Pavilion,5.0,"ITC Rajputana Hotel, Jaipur",Multicuisine,₹ 1800 for two approx.,10% Off + 25% Off
Jal Mahal,5.0,"ITC Rajputana Hotel, Jaipur  | View All(2) Outlets",Multicuisine,₹ 3300 for two approx.,10% Off + 25% Off
Handi Restaurant,4.2,"MI Road, Jaipur  | View All(2) Outlets",Multicuisine,₹ 1200 for two approx.,10% Off + 25% Off
Sheesh Mahal,4.0,"ITC Rajputana Hotel, Jaipur","Finger Food, Cocktail Menu",₹ 2200 for two approx.,10% Off + 25% Off
Sirka,4.5,"C Scheme, Jaipur",Indian,₹ 1300 for two approx.,35% Off + 25% Off
Kaleidoscope,4.4,"C Scheme, Jaipur  | View All(2) Outlets",Multicuisine,₹ 1000 for two approx.,20% Off + 25% Off
Arth Spaces,4.0,"C Scheme, Jaipur",Cafe,₹ 900 for two approx.,10% Off + 25% Off
Nibs Experia,4.3,"C Scheme, Jaipur  | View All(2) Outlets","Multicuisine, Cafe",₹ 700 for two approx.,20% Off + 25% Off
Darbar Bar By Rajmahal Palace,5.0,"Rajmahal Palace, Jaipur",Finger Food,₹ 6000 for two approx.,Cover Charge + 25% Off
Cafe Bae,4.5,"Hotel Las Vegas, Jaipur","Continental, Bakery",₹ 1500 for two approx.,30% Off + 25% Off
Peacock Roof Top Restaurant,4.6,"Hotel Pearl Palace, Jaipur",Pan Asian,₹ 800 for two approx.,25% Off :Payeazy
Aurum,4.5,"Hilton Jaipur, Jaipur",Multicuisine,₹ 3000 for two approx.,25% Off + 25% Off
